role|type|frame
('the flood', 'role', 17)|ARG1|the flood arrived
('At the older American Falls Dam downstream', 'role', 17)|ARGM-LOC|At the older American Falls Dam downstream engineers increased discharge by less than 5 % before the flood arrived
('engineers', 'role', 17)|ARG0|At the older American Falls Dam downstream engineers increased discharge by less than 5 % before the flood arrived
('discharge', 'role', 17)|ARG1|At the older American Falls Dam downstream engineers increased discharge by less than 5 % before the flood arrived
('by less than 5 %', 'role', 17)|ARG2|At the older American Falls Dam downstream engineers increased discharge by less than 5 % before the flood arrived
('before the flood arrived', 'role', 17)|ARGM-TMP|At the older American Falls Dam downstream engineers increased discharge by less than 5 % before the flood arrived
('That dam', 'role', 18)|ARG1|That dam held
('tens of thousands of acres of land near the river', 'role', 18)|ARG1|tens of thousands of acres of land near the river stripped of fertile topsoil
('of fertile topsoil', 'role', 18)|ARG2|tens of thousands of acres of land near the river stripped of fertile topsoil
('away', 'role', 19)|ARG4|washing away riparian zones
('riparian zones', 'role', 19)|ARG1|washing away riparian zones
('the canyon walls', 'role', 19)|ARG1|reducing the canyon walls
('The force of the failure', 'role', 19)|ARG0|The force of the failure destroyed the lower part of the Teton River washing away riparian zones and reducing the canyon walls
('the lower part of the Teton River', 'role', 19)|ARG1|The force of the failure destroyed the lower part of the Teton River washing away riparian zones and reducing the canyon walls
('washing away riparian zones and reducing the canyon walls', 'role', 19)|ARGM-ADV|The force of the failure destroyed the lower part of the Teton River washing away riparian zones and reducing the canyon walls
('This', 'role', 20)|ARG0|This seriously impacted the native Yellowstone cutthroat trout population
('seriously', 'role', 20)|ARGM-EXT|This seriously impacted the native Yellowstone cutthroat trout population
"(""the stream 's ecology"", 'role', 20)"|ARG1|This seriously damaged the stream 's ecology
('the native Yellowstone cutthroat trout population', 'role', 20)|ARG1|This seriously impacted the native Yellowstone cutthroat trout population
('The force of the water and excessive sediment', 'role', 21)|ARG0|The force of the water and excessive sediment also damaged stream habitat in the Snake River and some tributaries as far downstream as the Fort Hall bottoms
('also', 'role', 21)|ARGM-DIS|The force of the water and excessive sediment also damaged stream habitat in the Snake River and some tributaries as far downstream as the Fort Hall bottoms
('stream habitat in the Snake River and some tributaries as far downstream as the Fort Hall bottoms', 'role', 21)|ARG1|The force of the water and excessive sediment also damaged stream habitat in the Snake River and some tributaries as far downstream as the Fort Hall bottoms
('quantities of water', 'role', 22)|ARG1|quantities of water falling that had not been considered during the construction of the dam
('not', 'role', 22)|ARGM-NEG|quantities of water that not considered during the construction of the dam
('during the construction of the dam', 'role', 22)|ARGM-TMP|quantities of water that not considered during the construction of the dam
('an extreme flood', 'role', 22)|ARG1|an extreme flood resulting in quantities of water falling that had not been considered during the construction of the dam
('in quantities of water falling that had not been considered during the construction of the dam', 'role', 22)|ARG2|an extreme flood resulting in quantities of water falling that had not been considered during the construction of the dam
('In August 1975', 'role', 22)|ARGM-TMP|In August 1975 the region experienced an extreme flood resulting in quantities of water falling that had not been considered during the construction of the dam
('the region', 'role', 22)|ARG0|In August 1975 the region experienced an extreme flood resulting in quantities of water falling that had not been considered during the construction of the dam
('an extreme flood resulting in quantities of water falling that had not been considered during the construction of the dam', 'role', 22)|ARG1|In August 1975 the region experienced an extreme flood resulting in quantities of water falling that had not been considered during the construction of the dam
"(""More than a year 's worth of rain"", 'role', 23)"|ARG1|More than a year 's worth of rain fell in only 24 hours
('in only 24 hours', 'role', 23)|ARGM-TMP|More than a year 's worth of rain fell in only 24 hours
('the dam', 'role', 23)|ARG1|the dam failed on August 8
('on August 8', 'role', 23)|ARGM-TMP|the dam failed on August 8
('Early on August 8', 'role', 24)|ARGM-TMP|Early on August 8 the dam breached
('the dam', 'role', 24)|ARG1|Early on August 8 the dam breached
('700 million cubic meters of floodwater', 'role', 24)|ARG1|700 million cubic meters of floodwater released flooding communities and homes downstream
('flooding communities and homes downstream', 'role', 24)|ARGM-PRD|700 million cubic meters of floodwater released flooding communities and homes downstream
('the other 61 reservoirs', 'role', 25)|ARG0|the other 61 reservoirs releasing another six billion cubic meters of floodwater
('in the area', 'role', 25)|ARGM-LOC|the other 61 reservoirs located in the area
('another six billion cubic meters of floodwater', 'role', 25)|ARG1|the other 61 reservoirs releasing another six billion cubic meters of floodwater
('After this burst', 'role', 25)|ARGM-TMP|After this burst a chain reaction began
('a chain reaction', 'role', 25)|ARG1|After this burst a chain reaction began
('the other 61 reservoirs located in the area', 'role', 25)|ARG1|the other 61 reservoirs located in the area collapsed releasing another six billion cubic meters of floodwater
('releasing another six billion cubic meters of floodwater', 'role', 25)|ARGM-ADV|the other 61 reservoirs located in the area collapsed releasing another six billion cubic meters of floodwater
('The water', 'role', 26)|ARG2|The water covered an area equal to 10 000 square kilometers
('an area equal to 10 000 square kilometers', 'role', 26)|ARG1|The water covered an area equal to 10 000 square kilometers
('for extreme floodwaters', 'role', 27)|ARG1|plan for extreme floodwaters
('The failure to plan and account for extreme floodwaters', 'role', 27)|ARG1|The failure to plan and account for extreme floodwaters resulted in the immediate death of 26 000 as a result of the water itself
('in the immediate death of 26 000 as a result of the water itself', 'role', 27)|ARG2|The failure to plan and account for extreme floodwaters resulted in the immediate death of 26 000 as a result of the water itself
('the flood', 'role', 28)|ARG2|following the flood
('145 000 more people', 'role', 28)|ARG1|145 000 more people died as a result of epidemics and famine following the flood
('as a result of epidemics and famine following the flood', 'role', 28)|ARGM-CAU|145 000 more people died as a result of epidemics and famine following the flood
('the turbine', 'role', 29)|ARG1|the turbine break apart violently
('apart', 'role', 29)|ARG3|the turbine break apart violently
('violently', 'role', 29)|ARGM-MNR|the turbine break apart violently
('unsafe vibrations', 'role', 29)|ARG1|unsafe vibrations coming from one of the turbines which caused the turbine to break apart violently
('from one of the turbines', 'role', 29)|ARG2|unsafe vibrations coming from one of the turbines which caused the turbine to break apart violently
('unsafe vibrations coming from one of the turbines', 'role', 29)|ARG0|unsafe vibrations coming from one of the turbines which caused the turbine to break apart violently
('the turbine to break apart violently', 'role', 29)|ARG1|unsafe vibrations coming from one of the turbines which caused the turbine to break apart violently
('The cause of the incident', 'role', 29)|ARG1|The cause of the incident reported to be unsafe vibrations coming from one of the turbines which caused the turbine to break apart violently
('unsafe vibrations coming from one of the turbines which caused the turbine to break apart violently', 'role', 29)|ARG2|The cause of the incident be unsafe vibrations coming from one of the turbines which caused the turbine to break apart violently
('Water', 'role', 30)|ARG0|Water that entering the turbine
('the turbine', 'role', 30)|ARG2|Water that entering the turbine
('Water that had been entering the turbine', 'role', 30)|ARG2|Water that had been entering the turbine flooded the turbine hall flooding the room and levels below
('the room and levels below', 'role', 30)|ARG1|Water that had been entering the turbine flooding the room and levels below
('the turbine hall', 'role', 30)|ARG1|Water that had been entering the turbine flooded the turbine hall flooding the room and levels below
('flooding the room and levels below', 'role', 30)|ARGM-ADV|Water that had been entering the turbine flooded the turbine hall flooding the room and levels below
('The ceiling of the hall', 'role', 31)|ARG1|The ceiling of the hall also broke apart from the impact from the turbine
('also', 'role', 31)|ARGM-DIS|The ceiling of the hall also broke apart from the impact from the turbine
('apart', 'role', 31)|ARGM-PRD|The ceiling of the hall also broke apart from the impact from the turbine
('from the impact from the turbine', 'role', 31)|ARGM-DIR|The ceiling of the hall also broke apart from the impact from the turbine
('in a blackout', 'role', 32)|ARG2|resulting in a blackout
('At this point', 'role', 32)|ARGM-TMP|At this point power failed in the power station resulting in a blackout
('power', 'role', 32)|ARG1|At this point power failed in the power station resulting in a blackout
('in the power station', 'role', 32)|ARGM-LOC|At this point power failed in the power station resulting in a blackout
('resulting in a blackout', 'role', 32)|ARGM-ADV|At this point power failed in the power station resulting in a blackout
('Gasoline', 'role', 33)|ARG0|Gasoline can cause fires
('can', 'role', 33)|ARGM-MOD|Gasoline can cause fires
('fires', 'role', 33)|ARG1|Gasoline can cause fires
('Steel gates to the water intake pipes of the turbines', 'role', 34)|ARG1|Steel gates to the water intake pipes of the turbines manually closed
('manually', 'role', 34)|ARGM-MNR|Steel gates to the water intake pipes of the turbines manually closed
('spillways', 'role', 34)|ARG1|spillways opened to prevent more damage
('more damage', 'role', 34)|ARG1|spillways prevent more damage
('to prevent more damage', 'role', 34)|ARGM-PRP|spillways opened to prevent more damage
