role|type|frame|ratio|ratio_frame|risk|risk_ratio
('significantly damaging the community of Roberts', 'role', 15)|ARGM-ADV|The flood waters traveled west along the route of the Henrys Fork of the Snake River around both sides of the Menan Buttes significantly damaging the community of Roberts|0.28952890634536743|0.963295578956604|flood strike|[0.23582718]
('time', 'role', 16)|ARGM-TMP|time prepare|0.003700281959027052|0.014613445848226547|flood strike|[-0.05885726]
('The city of Idaho Falls even further down on the flood plain', 'role', 16)|ARG0|The city of Idaho Falls even further down on the flood plain had time to prepare|0.6151121258735657|0.1999170333147049|flood strike|[-0.91360939]
('time to prepare', 'role', 16)|ARG1|The city of Idaho Falls even further down on the flood plain had time to prepare|0.05106164142489433|0.1999170333147049|flood strike|[-0.91360939]
('the flood', 'role', 17)|ARG1|the flood arrived|0.941023051738739|0.968649685382843|flood strike|[-0.12872932]
('At the older American Falls Dam downstream', 'role', 17)|ARGM-LOC|At the older American Falls Dam downstream engineers increased discharge by less than 5 % before the flood arrived|0.3995530903339386|0.9533137679100037|flood strike|[0.68999209]
('engineers', 'role', 17)|ARG0|At the older American Falls Dam downstream engineers increased discharge by less than 5 % before the flood arrived|0.0005493524367921054|0.9533137679100037|flood strike|[0.68999209]
('discharge', 'role', 17)|ARG1|At the older American Falls Dam downstream engineers increased discharge by less than 5 % before the flood arrived|0.3431534171104431|0.9533137679100037|flood strike|[0.68999209]
('by less than 5 %', 'role', 17)|ARG2|At the older American Falls Dam downstream engineers increased discharge by less than 5 % before the flood arrived|0.09099937230348587|0.9533137679100037|flood strike|[0.68999209]
('before the flood arrived', 'role', 17)|ARGM-TMP|At the older American Falls Dam downstream engineers increased discharge by less than 5 % before the flood arrived|0.3717810809612274|0.9533137679100037|flood strike|[0.68999209]
('That dam', 'role', 18)|ARG1|That dam held|0.3179967403411865|0.0005817211931571364|flood strike|[-0.99124592]
('tens of thousands of acres of land near the river', 'role', 18)|ARG1|tens of thousands of acres of land near the river stripped of fertile topsoil|0.039200954139232635|0.07111088931560516|flood strike|[0.91605318]
('of fertile topsoil', 'role', 18)|ARG2|tens of thousands of acres of land near the river stripped of fertile topsoil|0.00030038459226489067|0.07111088931560516|flood strike|[0.91605318]
('away', 'role', 19)|ARG4|washing away riparian zones|0.3136129081249237|0.6732547283172607|flood strike|[0.00395773]
('riparian zones', 'role', 19)|ARG1|washing away riparian zones|0.03541683778166771|0.6732547283172607|flood strike|[0.00395773]
('the canyon walls', 'role', 19)|ARG1|reducing the canyon walls|0.0019194165943190455|0.0028728791512548923|flood strike|[-0.69537132]
('The force of the failure', 'role', 19)|ARG0|The force of the failure destroyed the lower part of the Teton River washing away riparian zones and reducing the canyon walls|0.044343870133161545|0.1950123906135559|flood strike|[0.99123027]
('the lower part of the Teton River', 'role', 19)|ARG1|The force of the failure destroyed the lower part of the Teton River washing away riparian zones and reducing the canyon walls|0.22741906344890594|0.1950123906135559|flood strike|[0.99123027]
('washing away riparian zones and reducing the canyon walls', 'role', 19)|ARGM-ADV|The force of the failure destroyed the lower part of the Teton River washing away riparian zones and reducing the canyon walls|0.7715681791305542|0.1950123906135559|flood strike|[0.99123027]
('This', 'role', 20)|ARG0|This seriously impacted the native Yellowstone cutthroat trout population|0.2037593573331833|0.059991493821144104|flood strike|[0.19977632]
('seriously', 'role', 20)|ARGM-EXT|This seriously impacted the native Yellowstone cutthroat trout population|0.047260940074920654|0.059991493821144104|flood strike|[0.19977632]
"(""the stream 's ecology"", 'role', 20)"|ARG1|This seriously damaged the stream 's ecology|0.0024203574284911156|0.06131868436932564|flood strike|[0.13833892]
('the native Yellowstone cutthroat trout population', 'role', 20)|ARG1|This seriously impacted the native Yellowstone cutthroat trout population|0.004252674523741007|0.059991493821144104|flood strike|[0.19977632]
('The force of the water and excessive sediment', 'role', 21)|ARG0|The force of the water and excessive sediment also damaged stream habitat in the Snake River and some tributaries as far downstream as the Fort Hall bottoms|0.4916791617870331|0.3708784580230713|flood strike|[0.13936417]
('also', 'role', 21)|ARGM-DIS|The force of the water and excessive sediment also damaged stream habitat in the Snake River and some tributaries as far downstream as the Fort Hall bottoms|0.22599558532238007|0.3708784580230713|flood strike|[0.13936417]
('stream habitat in the Snake River and some tributaries as far downstream as the Fort Hall bottoms', 'role', 21)|ARG1|The force of the water and excessive sediment also damaged stream habitat in the Snake River and some tributaries as far downstream as the Fort Hall bottoms|0.007221514359116554|0.3708784580230713|flood strike|[0.13936417]
('quantities of water', 'role', 22)|ARG1|quantities of water falling that had not been considered during the construction of the dam|0.21133767068386078|0.2948533594608307|flood strike|[-0.07376736]
('not', 'role', 22)|ARGM-NEG|quantities of water that not considered during the construction of the dam|0.02147320844233036|0.09172046929597855|flood strike|[-0.02004975]
('during the construction of the dam', 'role', 22)|ARGM-TMP|quantities of water that not considered during the construction of the dam|0.003467984963208437|0.09172046929597855|flood strike|[-0.02004975]
('an extreme flood', 'role', 22)|ARG1|an extreme flood resulting in quantities of water falling that had not been considered during the construction of the dam|0.9739590287208557|0.8518950343132019|flood strike|[0.02831361]
('in quantities of water falling that had not been considered during the construction of the dam', 'role', 22)|ARG2|an extreme flood resulting in quantities of water falling that had not been considered during the construction of the dam|0.4789063036441803|0.8518950343132019|flood strike|[0.02831361]
('In August 1975', 'role', 22)|ARGM-TMP|In August 1975 the region experienced an extreme flood resulting in quantities of water falling that had not been considered during the construction of the dam|0.1687314659357071|0.8350416421890259|flood strike|[-0.01711163]
('the region', 'role', 22)|ARG0|In August 1975 the region experienced an extreme flood resulting in quantities of water falling that had not been considered during the construction of the dam|0.08521372824907303|0.8350416421890259|flood strike|[-0.01711163]
('an extreme flood resulting in quantities of water falling that had not been considered during the construction of the dam', 'role', 22)|ARG1|In August 1975 the region experienced an extreme flood resulting in quantities of water falling that had not been considered during the construction of the dam|0.8518950343132019|0.8350416421890259|flood strike|[-0.01711163]
"(""More than a year 's worth of rain"", 'role', 23)"|ARG1|More than a year 's worth of rain fell in only 24 hours|0.26436203718185425|0.41362759470939636|flood strike|[-0.21477691]
('in only 24 hours', 'role', 23)|ARGM-TMP|More than a year 's worth of rain fell in only 24 hours|0.04898758605122566|0.41362759470939636|flood strike|[-0.21477691]
('the dam', 'role', 23)|ARG1|the dam failed on August 8|0.08280716836452484|0.42338451743125916|flood strike|[0.99607043]
('on August 8', 'role', 23)|ARGM-TMP|the dam failed on August 8|0.03830578550696373|0.42338451743125916|flood strike|[0.99607043]
('Early on August 8', 'role', 24)|ARGM-TMP|Early on August 8 the dam breached|0.06739173084497452|0.5765979886054993|flood strike|[0.42088073]
('the dam', 'role', 24)|ARG1|Early on August 8 the dam breached|0.08280716836452484|0.5765979886054993|flood strike|[0.42088073]
('700 million cubic meters of floodwater', 'role', 24)|ARG1|700 million cubic meters of floodwater released flooding communities and homes downstream|0.6779707670211792|0.6787813305854797|flood strike|[0.56177091]
('flooding communities and homes downstream', 'role', 24)|ARGM-PRD|700 million cubic meters of floodwater released flooding communities and homes downstream|0.9346171021461487|0.6787813305854797|flood strike|[0.56177091]
('the other 61 reservoirs', 'role', 25)|ARG0|the other 61 reservoirs releasing another six billion cubic meters of floodwater|0.004608616232872009|0.19365805387496948|flood strike|[-0.49916611]
('in the area', 'role', 25)|ARGM-LOC|the other 61 reservoirs located in the area|0.5049850940704346|0.00928517896682024|flood strike|[-0.03398755]
('another six billion cubic meters of floodwater', 'role', 25)|ARG1|the other 61 reservoirs releasing another six billion cubic meters of floodwater|0.8104069232940674|0.19365805387496948|flood strike|[-0.49916611]
('After this burst', 'role', 25)|ARGM-TMP|After this burst a chain reaction began|0.28479722142219543|0.1443062126636505|flood strike|[-0.62293158]
('a chain reaction', 'role', 25)|ARG1|After this burst a chain reaction began|0.021715788170695305|0.1443062126636505|flood strike|[-0.62293158]
('the other 61 reservoirs located in the area', 'role', 25)|ARG1|the other 61 reservoirs located in the area collapsed releasing another six billion cubic meters of floodwater|0.00928517896682024|0.49179455637931824|flood strike|[0.67860314]
('releasing another six billion cubic meters of floodwater', 'role', 25)|ARGM-ADV|the other 61 reservoirs located in the area collapsed releasing another six billion cubic meters of floodwater|0.4816170632839203|0.49179455637931824|flood strike|[0.67860314]
('The water', 'role', 26)|ARG2|The water covered an area equal to 10 000 square kilometers|0.6114609241485596|0.2106657326221466|flood strike|[-0.38268957]
('an area equal to 10 000 square kilometers', 'role', 26)|ARG1|The water covered an area equal to 10 000 square kilometers|0.024678179994225502|0.2106657326221466|flood strike|[-0.38268957]
('for extreme floodwaters', 'role', 27)|ARG1|plan for extreme floodwaters|0.8651919364929199|0.8286459445953369|flood strike|[-0.07758831]
('The failure to plan and account for extreme floodwaters', 'role', 27)|ARG1|The failure to plan and account for extreme floodwaters resulted in the immediate death of 26 000 as a result of the water itself|0.6726180911064148|0.6531558036804199|flood strike|[0.99274565]
('in the immediate death of 26 000 as a result of the water itself', 'role', 27)|ARG2|The failure to plan and account for extreme floodwaters resulted in the immediate death of 26 000 as a result of the water itself|0.3350997269153595|0.6531558036804199|flood strike|[0.99274565]
('the flood', 'role', 28)|ARG2|following the flood|0.941023051738739|0.8896021246910095|flood strike|[-0.26701177]
('145 000 more people', 'role', 28)|ARG1|145 000 more people died as a result of epidemics and famine following the flood|0.009636973962187767|0.6974536180496216|flood strike|[0.4858599]
('as a result of epidemics and famine following the flood', 'role', 28)|ARGM-CAU|145 000 more people died as a result of epidemics and famine following the flood|0.9214711785316467|0.6974536180496216|flood strike|[0.4858599]
('the turbine', 'role', 29)|ARG1|the turbine break apart violently|0.0004409633984323591|0.0011606838088482618|flood strike|[0.95193281]
('apart', 'role', 29)|ARG3|the turbine break apart violently|0.07151944190263748|0.0011606838088482618|flood strike|[0.95193281]
('violently', 'role', 29)|ARGM-MNR|the turbine break apart violently|0.10636532306671143|0.0011606838088482618|flood strike|[0.95193281]
('unsafe vibrations', 'role', 29)|ARG1|unsafe vibrations coming from one of the turbines which caused the turbine to break apart violently|0.014529597014188766|0.0015132897533476353|flood strike|[0.8621024]
('from one of the turbines', 'role', 29)|ARG2|unsafe vibrations coming from one of the turbines which caused the turbine to break apart violently|0.0002948384790215641|0.0015132897533476353|flood strike|[0.8621024]
('unsafe vibrations coming from one of the turbines', 'role', 29)|ARG0|unsafe vibrations coming from one of the turbines which caused the turbine to break apart violently|0.0012290276354178786|0.0015132897533476353|flood strike|[0.8621024]
('the turbine to break apart violently', 'role', 29)|ARG1|unsafe vibrations coming from one of the turbines which caused the turbine to break apart violently|0.0011148826451972127|0.0015132897533476353|flood strike|[0.8621024]
('The cause of the incident', 'role', 29)|ARG1|The cause of the incident reported to be unsafe vibrations coming from one of the turbines which caused the turbine to break apart violently|0.06545938551425934|0.0012132134288549423|flood strike|[0.64602455]
('unsafe vibrations coming from one of the turbines which caused the turbine to break apart violently', 'role', 29)|ARG2|The cause of the incident be unsafe vibrations coming from one of the turbines which caused the turbine to break apart violently|0.0015132897533476353|0.0012208801927044988|flood strike|[0.74481275]
('Water', 'role', 30)|ARG0|Water that entering the turbine|0.528926432132721|0.2879215478897095|flood strike|[-0.57454181]
('the turbine', 'role', 30)|ARG2|Water that entering the turbine|0.0004409633984323591|0.2879215478897095|flood strike|[-0.57454181]
('Water that had been entering the turbine', 'role', 30)|ARG2|Water that had been entering the turbine flooded the turbine hall flooding the room and levels below|0.26448947191238403|0.8077530860900879|flood strike|[0.79138927]
('the room and levels below', 'role', 30)|ARG1|Water that had been entering the turbine flooding the room and levels below|0.04976657032966614|0.8338288068771362|flood strike|[0.74125809]
('the turbine hall', 'role', 30)|ARG1|Water that had been entering the turbine flooded the turbine hall flooding the room and levels below|0.00039951156941242516|0.8077530860900879|flood strike|[0.79138927]
('flooding the room and levels below', 'role', 30)|ARGM-ADV|Water that had been entering the turbine flooded the turbine hall flooding the room and levels below|0.9308589100837708|0.8077530860900879|flood strike|[0.79138927]
('The ceiling of the hall', 'role', 31)|ARG1|The ceiling of the hall also broke apart from the impact from the turbine|0.00451721390709281|0.0023731240071356297|flood strike|[0.74726183]
('also', 'role', 31)|ARGM-DIS|The ceiling of the hall also broke apart from the impact from the turbine|0.22599558532238007|0.0023731240071356297|flood strike|[0.74726183]
('apart', 'role', 31)|ARGM-PRD|The ceiling of the hall also broke apart from the impact from the turbine|0.07151944190263748|0.0023731240071356297|flood strike|[0.74726183]
('from the impact from the turbine', 'role', 31)|ARGM-DIR|The ceiling of the hall also broke apart from the impact from the turbine|0.0006990419351495802|0.0023731240071356297|flood strike|[0.74726183]
('in a blackout', 'role', 32)|ARG2|resulting in a blackout|0.0010539693757891655|0.001621150877326727|flood strike|[0.96345699]
('At this point', 'role', 32)|ARGM-TMP|At this point power failed in the power station resulting in a blackout|0.055246416479349136|0.0017989443149417639|flood strike|[0.99360338]
('power', 'role', 32)|ARG1|At this point power failed in the power station resulting in a blackout|0.0007249459158629179|0.0017989443149417639|flood strike|[0.99360338]
('in the power station', 'role', 32)|ARGM-LOC|At this point power failed in the power station resulting in a blackout|0.0007713575614616275|0.0017989443149417639|flood strike|[0.99360338]
('resulting in a blackout', 'role', 32)|ARGM-ADV|At this point power failed in the power station resulting in a blackout|0.001621150877326727|0.0017989443149417639|flood strike|[0.99360338]
('Gasoline', 'role', 33)|ARG0|Gasoline can cause fires|0.0010006765369325876|0.0014414472971111536|flood strike|[0.0472796]
('can', 'role', 33)|ARGM-MOD|Gasoline can cause fires|0.04813672602176666|0.0014414472971111536|flood strike|[0.0472796]
('fires', 'role', 33)|ARG1|Gasoline can cause fires|0.0005651948740705848|0.0014414472971111536|flood strike|[0.0472796]
('Steel gates to the water intake pipes of the turbines', 'role', 34)|ARG1|Steel gates to the water intake pipes of the turbines manually closed|0.0010598829248920083|0.0051069557666778564|flood strike|[-0.30910719]
('manually', 'role', 34)|ARGM-MNR|Steel gates to the water intake pipes of the turbines manually closed|0.02103673294186592|0.0051069557666778564|flood strike|[-0.30910719]
('spillways', 'role', 34)|ARG1|spillways opened to prevent more damage|0.14641404151916504|0.006826327182352543|flood strike|[-0.68515638]
('more damage', 'role', 34)|ARG1|spillways prevent more damage|0.4473079442977905|0.001998938387259841|flood strike|[-0.97057322]
('to prevent more damage', 'role', 34)|ARGM-PRP|spillways opened to prevent more damage|0.02093757688999176|0.006826327182352543|flood strike|[-0.68515638]
