source,target,label
decrease,production,risk
decrease,amount,risk
decrease,interest,risk
decrease,rate,risk
decrease,consumer,risk
decrease,power,risk
decrease,government,risk
amount,price,risk
amount,demand,risk
amount,cost,risk
amount,supply,risk
amount,money,risk
amount,increase,risk
amount,bank,risk
amount,level,risk
amount,inflation,risk
amount,business,risk
amount,factor,risk
amount,service,risk
amount,good,risk
amount,production,risk
amount,purchasing,risk
amount,interest,risk
amount,rate,risk
amount,decrease,risk
amount,power,risk
amount,government,risk
pandemic,price,risk
pandemic,demand,risk
pandemic,cost,risk
pandemic,supply,risk
pandemic,money,risk
pandemic,increase,risk
pandemic,bank,risk
pandemic,level,risk
pandemic,inflation,risk
pandemic,business,risk
pandemic,factor,risk
pandemic,service,risk
pandemic,good,risk
pandemic,production,risk
pandemic,purchasing,risk
pandemic,amount,risk
pandemic,interest,risk
pandemic,rate,risk
pandemic,consumer,risk
pandemic,decrease,risk
pandemic,power,risk
pandemic,government,risk
chain,price,risk
chain,demand,risk
chain,cost,risk
chain,supply,risk
chain,money,risk
chain,increase,risk
chain,bank,risk
chain,level,risk
chain,inflation,risk
chain,business,risk
chain,factor,risk
chain,service,risk
chain,good,risk
chain,production,risk
chain,purchasing,risk
chain,amount,risk
chain,interest,risk
chain,rate,risk
chain,consumer,risk
chain,decrease,risk
chain,power,risk
chain,government,risk
disruption,price,risk
disruption,demand,risk
disruption,cost,risk
disruption,supply,risk
disruption,money,risk
disruption,increase,risk
disruption,bank,risk
disruption,level,risk
disruption,inflation,risk
disruption,business,risk
disruption,factor,risk
disruption,service,risk
disruption,good,risk
disruption,production,risk
disruption,purchasing,risk
disruption,amount,risk
disruption,interest,risk
disruption,rate,risk
disruption,consumer,risk
disruption,decrease,risk
disruption,power,risk
disruption,government,risk
disaster,price,risk
disaster,demand,risk
disaster,cost,risk
disaster,supply,risk
disaster,money,risk
disaster,increase,risk
disaster,bank,risk
disaster,level,risk
disaster,inflation,risk
disaster,business,risk
disaster,factor,risk
disaster,service,risk
disaster,good,risk
disaster,production,risk
disaster,purchasing,risk
disaster,amount,risk
disaster,interest,risk
disaster,rate,risk
disaster,consumer,risk
disaster,decrease,risk
disaster,power,risk
disaster,government,risk
production,price,risk
production,demand,risk
production,cost,risk
production,supply,risk
production,money,risk
production,increase,risk
production,bank,risk
production,level,risk
production,inflation,risk
production,business,risk
production,factor,risk
production,service,risk
production,good,risk
production,purchasing,risk
production,amount,risk
production,interest,risk
production,rate,risk
production,consumer,risk
production,decrease,risk
production,power,risk
production,government,risk
bank,price,risk
bank,demand,risk
bank,cost,risk
bank,supply,risk
bank,money,risk
bank,increase,risk
bank,inflation,risk
bank,business,risk
bank,factor,risk
bank,service,risk
bank,good,risk
bank,production,risk
bank,purchasing,risk
bank,amount,risk
bank,interest,risk
bank,rate,risk
bank,consumer,risk
bank,decrease,risk
bank,power,risk
bank,government,risk
level,price,risk
level,demand,risk
level,cost,risk
level,supply,risk
level,money,risk
level,increase,risk
level,inflation,risk
level,business,risk
level,factor,risk
level,service,risk
level,good,risk
level,production,risk
level,purchasing,risk
level,amount,risk
level,interest,risk
level,rate,risk
level,consumer,risk
level,decrease,risk
level,power,risk
level,government,risk
deflation,price,risk
deflation,demand,risk
deflation,cost,risk
deflation,supply,risk
deflation,money,risk
deflation,increase,risk
deflation,bank,risk
deflation,level,risk
deflation,inflation,risk
deflation,business,risk
deflation,factor,risk
deflation,service,risk
deflation,good,risk
deflation,production,risk
deflation,purchasing,risk
deflation,amount,risk
deflation,interest,risk
deflation,rate,risk
deflation,consumer,risk
deflation,decrease,risk
deflation,power,risk
deflation,government,risk
power,price,risk
power,demand,risk
power,cost,risk
power,supply,risk
power,money,risk
power,increase,risk
power,bank,risk
power,level,risk
power,inflation,risk
power,business,risk
power,factor,risk
power,service,risk
power,good,risk
power,production,risk
power,purchasing,risk
power,amount,risk
power,interest,risk
power,rate,risk
power,consumer,risk
power,decrease,risk
power,government,risk
push,price,risk
push,demand,risk
push,cost,risk
push,supply,risk
push,money,risk
push,increase,risk
push,bank,risk
push,level,risk
push,inflation,risk
push,business,risk
push,factor,risk
push,service,risk
push,good,risk
push,production,risk
push,purchasing,risk
push,amount,risk
push,interest,risk
push,rate,risk
push,consumer,risk
push,decrease,risk
push,power,risk
push,government,risk
wage,price,risk
wage,demand,risk
wage,cost,risk
wage,supply,risk
wage,money,risk
wage,increase,risk
wage,bank,risk
wage,level,risk
wage,inflation,risk
wage,business,risk
wage,factor,risk
wage,service,risk
wage,good,risk
wage,purchasing,risk
wage,amount,risk
wage,interest,risk
wage,rate,risk
wage,consumer,risk
wage,decrease,risk
wage,power,risk
wage,government,risk
taxis,price,risk
taxis,demand,risk
taxis,cost,risk
taxis,supply,risk
taxis,money,risk
taxis,increase,risk
taxis,bank,risk
taxis,level,risk
taxis,inflation,risk
taxis,business,risk
taxis,factor,risk
taxis,service,risk
taxis,good,risk
taxis,production,risk
taxis,purchasing,risk
taxis,amount,risk
taxis,interest,risk
taxis,rate,risk
taxis,consumer,risk
taxis,decrease,risk
taxis,power,risk
taxis,government,risk
income,price,risk
income,demand,risk
income,cost,risk
income,supply,risk
income,money,risk
income,increase,risk
income,bank,risk
income,level,risk
income,inflation,risk
income,business,risk
income,factor,risk
income,service,risk
income,good,risk
income,production,risk
income,amount,risk
income,interest,risk
income,rate,risk
income,consumer,risk
income,decrease,risk
income,power,risk
income,government,risk
